"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Point","HSN Code","Customisation Id","Associated Pixel","attr_Brand","attr_Material","attr_Ideal For","attr_Feature","attr_Country of Origin","attr_ Type","attr_Outer Material","attr_Ideal for","attr_Product Type","attr_Features","attr_Country_of_Origin","attr_Additional Feature"
"Artificial Plant Pot-88","","Green,Red & Yellow Artificial Croton Plant With Sturdy Plastic Pot For Home Decor","HOD-88",699,1398,230,28,10,8,32,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/MPEtUdk7_8JZ05X7919_2025-06-20_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/MPEtUdk7_G3SAIIUN7A_2025-06-20_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green,red & yellow","Vibrant Artificial decorative plant in stylish pot.The artificial plant features a striking arrangement of leaves that boast rich hues of green with subtle variations, giving it a lifelike appearance. Its design is inspired by popular tropical foliage, making it a versatile decor piece that complements a variety of interior styles, from modern minimalistic to rustic and bohemian. Unlike real plants, it requires no watering, sunlight, or pruning, making it ideal for those with busy lifestyles or less green thumbs.","1",true,"",1,"","","","House of Dhaarna","High Quality plastic and Sturdy plastic pot","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Durable Pot- sturdy container for easy placement.","India","Artificial Plant",,,,,,
"ArtificialFlowerStick-56","","Pack of 2- Red Artificial Rose Flower stick For Home Decor","HOD-56",499,998,200,30,10,5,48,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/jomXqV_k_4X7M4P4R0J_2025-07-04_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/jomXqV_k_DQLN570YG6_2025-06-20_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/jomXqV_k_LR4JKPWMLY_2025-06-19_2.jpg","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Red","Elegant Artificial Rose Flower- Nature's perfect expression of love (Without Vase).The rose’s lush petals boast a rich, velvety appearance that radiates sophistication, available in classic red or other elegant shades, allowing you to match it seamlessly with your existing decor. The stem and leaves are intricately crafted with a lifelike green finish, adding depth and authenticity to the flower’s overall look. The attention to detail ensures that the rose flower feels natural to the eye and touch, making it ideal for creating romantic centerpieces, gifting on special occasions, or simply enhancing your living space with a touch of floral elegance.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
"Artificial plant Stick-82","","Green & Red Artificial Caladium Leaves With Stick For Home Decor","HOD-82",699,1398,200,24,10,10,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/6JrLShqJ_A7ZDWSO802_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/6JrLShqJ_NIDWMR9OMB_2025-06-10_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/6JrLShqJ_D84L0BYY58_2025-06-12_1.png","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green & Red","Bring nature's charm into your space with this beautifully crafted artificial Caladium plant. (without pot).Crafted from high-quality, durable materials, this faux plant features vividly colored leaves with intricate vein detailing that closely resembles the natural Caladium. The green-and-pink (or green-and-white, depending on the variant) foliage offers a lush, tropical aesthetic that instantly elevates any room. With flexible stems and lifelike textures, the plant delivers a natural look and feel, making it nearly indistinguishable from its real counterpart.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Indoor and Outdoor Settings- ideal for busy lifestyles.
Perfect for home decor","Low Maintenance: No watering or sunlight.
 Plastic leaves are removable and washable.","India","Artificial Plant",,,,,,
"Artificial Plant Pot-84","","Yellow & Multicolor Artificial Croton Plant For Home Decor","HOD-84",599,1098,230,28,10,15,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/OJe0WHZE_K33FP9M6JI_2025-06-27_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/OJe0WHZE_Z5QREVLSYA_2025-06-27_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Yellow & Multicolor","Vibrant Artificial decorative plant in stylish pot.The artificial plant features a striking arrangement of leaves that boast rich hues of green with subtle variations, giving it a lifelike appearance. Its design is inspired by popular tropical foliage, making it a versatile decor piece that complements a variety of interior styles, from modern minimalistic to rustic and bohemian. Unlike real plants, it requires no watering, sunlight, or pruning, making it ideal for those with busy lifestyles or less green thumbs.","1",true,"",1,"","","","House of Dhaarna","High Quality plastic and Sturdy plastic pot","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Durable Pot- sturdy container for easy placement.","India","Artificial Plant",,,,,,
"Artificial Flower Stick-99","","Yellow Artificial Yellow Chrysanthemum Flower Stick For Home Decor","HOD-99",599,1198,130,26,8,8,66,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/7XZlPd_u_5K9CDGUZV1_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/7XZlPd_u_04LRTTU5IH_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Yellow","Brighten your space with Vibrant Artificial Chrysanthemum Flower in vibrant Yellow color.Each flower in this artificial chrysanthemum piece is crafted with detailed, layered petals that mimic the natural fullness and texture of real blooms. The bright yellow color instantly lifts the mood of any room, creating a lively and welcoming atmosphere. The petals’ soft curves and subtle variations in shade add depth and realism, while the lush green stems and leaves provide a fresh, natural contrast that enhances the flower’s vivid vibrancy.","1",true,"",1,"","","","House of Dhaarna","High Quality Silk","Indoor and Outdoor Settings
Perfect for Weddings, events, or elegant home decor","Low Maintenance: No watering or sunlight
 
 No fading, No mess, Allergy friendly","India","Artificial Flower",,,,,,
"Artificial plant Stick-115","","Multicolor Combo Of Artificial Leaves Sticks(Oak Leaves, Orange Leaves, Orange Eucalyptus Leaves) For Home Decor","HOD-115",899,1798,300,30,61,2,68,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/cIskwx61_20RF47H3LQ_2025-06-09_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/cIskwx61_9IR5NP17V0_2025-06-12_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/cIskwx61_N12WU8Z5HS_2025-06-12_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/cIskwx61_P7EM4FDCSS_2025-06-12_3.png","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Multicolor","Artificial leaves stick perfect for brightening up tabletop, shelf, or entryway. The realistic design adds warmth and charm without the need of maintenance.Each leaf on the stick is carefully crafted to replicate the natural shapes, textures, and colors of real foliage. The subtle variations in green tones, from deep forest hues to lighter shades, give the leaves a lifelike quality that adds depth and authenticity to your decor. The delicate veining and smooth edges further enhance the realistic appearance, creating a fresh and inviting atmosphere wherever the stick is placed.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window","Low Maintenance: No watering or sunlight","India","Artificial Plant",,,,,,
"Artificial plant Stick-114","","Multicolor Combo Of Artificial Leaves Sticks(Purple Eucalyptus Leaves, Green Leaves, Orange Leaves) For Home Decor","HOD-114",899,1798,300,30,60,2,68,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/3Z6lZJNu_NXV69AW9Q4_2025-06-09_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/3Z6lZJNu_0B0T9PYQYM_2025-06-12_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/3Z6lZJNu_ST0C3732A7_2025-06-12_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/3Z6lZJNu_AB1HB55VYA_2025-06-12_3.png","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Multicolor","Artificial leaves stick perfect for brightening up tabletop, shelf, or entryway. The realistic design adds warmth and charm without the need of maintenance.Each leaf on the stick is carefully crafted to replicate the natural shapes, textures, and colors of real foliage. The subtle variations in green tones, from deep forest hues to lighter shades, give the leaves a lifelike quality that adds depth and authenticity to your decor. The delicate veining and smooth edges further enhance the realistic appearance, creating a fresh and inviting atmosphere wherever the stick is placed.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window","Low Maintenance: No watering or sunlight","India","Artificial Plant",,,,,,
"Artificial plant Stick-108","","Purple Artificial Eucalyptus Leaves Stick For Home Decor","HOD-108",399,798,100,29,63,1,66,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/prvExEa__7UAI0MZ8ZO_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/prvExEa__8X8FTJF9IX_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Purple","Artificial Eucalyptus branch perfect for brightening up tabletop, shelf, or entryway. The realistic design adds warmth and charm without the need of maintenance.Designed for durability and ease of use, this artificial eucalyptus branch requires no watering, sunlight, or pruning, making it a hassle-free solution to adding greenery indoors. Its lightweight and flexible design make it simple to place in a vase, decorative jar, or as part of a larger centerpiece. The understated charm of eucalyptus works beautifully in minimalist, modern, rustic, or bohemian interiors, adding texture and a fresh, organic feel without overpowering your existing decor.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window","Low Maintenance: No watering or sunlight.
 
 Clean with a cloth.","India","Artificial Plant",,,,,,
"Artificial plant Stick-113","","Multicolor Combo Of Artificial Leaves Sticks(Orange Eucalyptus Leaves, Green Leaves, Orange Leaves) For Home Decor","HOD-113",899,1798,300,30,61,2,68,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/7pscFSeO_GBP92WGZQB_2025-06-09_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/7pscFSeO_L9VVQURGFJ_2025-06-12_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/7pscFSeO_24HZAC2KR9_2025-06-12_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/7pscFSeO_N6830NQ0DK_2025-06-12_3.png","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Multicolor","Artificial leaves stick perfect for brightening up tabletop, shelf, or entryway. The realistic design adds warmth and charm without the need of maintenance.Each leaf on the stick is carefully crafted to replicate the natural shapes, textures, and colors of real foliage. The subtle variations in green tones, from deep forest hues to lighter shades, give the leaves a lifelike quality that adds depth and authenticity to your decor. The delicate veining and smooth edges further enhance the realistic appearance, creating a fresh and inviting atmosphere wherever the stick is placed.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window","Low Maintenance: No watering or sunlight","India","Artificial Plant",,,,,,
"Artificial plant Stick-117","","Combo of Green Artificial leaf sticks (Pack of 2) and a White stylish Vase For Home Decor","HOD-117",999,1998,300,30,15,36,15,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Artificial_plant_Stick_117_1750851203014_j18kh5e4z91rkn4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Artificial_plant_Stick_117_1750851202676_ukwkrjawz18e9hu.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/fxIJKcrs_338EXOUNCT_2025-07-03_1.jpg","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green","Combo of Artificial leaf sticks (Pack of 2) with stylish white Vase for home decor, gifting or special occasions. Crafted using high-quality plastic and realistic materials.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India",,,,,,,
"Artificial plant Stick-110","","Red,Green, Orange, Yellow Artificial Oak Leaves Stick For Home Decor","HOD-110",399,798,100,30,63,1,63,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/x6HVUtqi_651DLD839V_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/x6HVUtqi_DS9OXAI05T_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Red,Green, orange, yellow","Artificial Oak leaves stick perfect for brightening up tabletop, shelf, or entryway. The realistic design adds warmth and charm without the need of maintenance.This artificial oak leaves stick is lightweight and durable, making it easy to place and style in a variety of settings. Whether displayed alone in a slender vase or incorporated into a larger floral arrangement, it adds texture and visual interest without overwhelming your space. Its natural tones complement both modern and traditional interiors, blending effortlessly with neutral palettes or contrasting beautifully against vibrant decor elements.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window","Low Maintenance: No watering or sunlight.
 
 Washable","India","Artificial Plant",,,,,,
"Artificial Flower Stick-119","","Combo of Lavender Artificial Stick and white Donut shaped Vase For Home Decor","HOD-119",949,1898,300,30,18,36,15,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Artificial_Flower_Stick_119_1750851206399_sya50g4n2hhfjar.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Artificial_Flower_Stick_119_1750851206411_udzxdbkf3r3pu1h.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/_LNHM5Ge_O0GECW9G5S_2025-07-03_1.jpg","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Lavender, White","Combo of Artificial Lavender flower stick with white Donut shaped Vase (high quality plastic) for home decor, gifting or special occasions. Crafted using high-quality and realistic materials.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and Fabric","Home decor (living room, bedroom, or hallway)Table centerpiece for dining or coffee tables. Balcony or window. Gifting for housewarmings, birthdays, or anniversaries. Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India",,,,,,,
"Artificial Plant Pot-86","","Green Artificial Croton Plant With Sturdy Plastic Pot For Home Decor","HOD-86",499,999,230,30,10,15,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/oeLUYeQR_EIGC8EHKE3_2025-06-30_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/oeLUYeQR_QE6P4CN916_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green","Vibrant Artificial decorative plant in stylish pot.The artificial plant features a striking arrangement of leaves that boast rich hues of green with subtle variations, giving it a lifelike appearance. Its design is inspired by popular tropical foliage, making it a versatile decor piece that complements a variety of interior styles, from modern minimalistic to rustic and bohemian. Unlike real plants, it requires no watering, sunlight, or pruning, making it ideal for those with busy lifestyles or less green thumbs.","1",true,"",1,"","","","House of Dhaarna","High Quality plastic and Sturdy plastic pot","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Durable Pot- sturdy container for easy placement.","India","Artificial Plant",,,,,,
"Artificial plant Stick-109","","Pack of 5- Orange Artificial Eucalyptus Leaves Stick For Home Decor","HOD-109",699,1398,250,30,60,1.5,66,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/delTKUCB_BQ22WDJRLR_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/delTKUCB_37CEUF2P4H_2025-07-08_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/delTKUCB_VWCZUO24II_2025-06-12_1.png","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Orange","Artificial Eucalyptus branch perfect for brightening up tabletop, shelf, or entryway. The realistic design adds warmth and charm without the need of maintenance.Designed for durability and ease of use, this artificial eucalyptus branch requires no watering, sunlight, or pruning, making it a hassle-free solution to adding greenery indoors. Its lightweight and flexible design make it simple to place in a vase, decorative jar, or as part of a larger centerpiece. The understated charm of eucalyptus works beautifully in minimalist, modern, rustic, or bohemian interiors, adding texture and a fresh, organic feel without overpowering your existing decor.","1",true,"",1,"","","","House of Dhaarna","High Quality fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window","Low Maintenance: No watering or sunlight.
 
 Clean with a cloth.","India","Artificial Plant",,,,,,
"Artificial Flower Bouquet-58","","Light Green Artificial Lily Flower Bouquet - 3D Print For Home Decor","HOD-58",549,1098,220,30,10,10,53,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/rXyMKs4Q_S1RF4LYFOG_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/rXyMKs4Q_XKV508QQ5G_2025-06-10_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/rXyMKs4Q_ST15CLLMW4_2025-06-12_1.png","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Light Green","Enjoy the year-round bloom with the vibrant Artificial Lily flower bouquet with 3D printing ( without Vase ).Each bloom in the bouquet showcases meticulous detailing, from the gentle petal veins to the natural-looking stamen and stem design. The 3D printing process ensures that every flower is incredibly realistic and visually stunning, offering a fresh and radiant look that remains unchanged over time. Whether you're decorating your living room, bedroom, office desk, or a special event space, this bouquet adds a cheerful and refreshing aesthetic to any setting.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-66","","Purple Artificial Hydrangea Flower Bouquet For Home Decor","HOD-66",699,1398,300,30,10,10,43,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/JPfb6O85_VOC8DRS79Z_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/JPfb6O85_VECU5F339C_2025-06-09_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/JPfb6O85_94N38B7FKW_2025-06-12_1.jpg","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Purple","Elegant artificial Hydrangea flower bouquet ( without Vase ) for home decor, gifting or special occasions.Crafted using high-quality, realistic materials, each flower in this bouquet mimics the gentle curves, layered petals, and rich textures of natural hydrangeas. The attention to detail is evident in the soft color blending and lifelike feel, making this bouquet a visually captivating addition to any space. Whether displayed on a dining table, console, bedside, or mantel, it instantly adds warmth, freshness, and a touch of elegance.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-69","","Blue Artificial Hydrangea Flower Bouquet For Home Decor","HOD-69",699,1398,300,30,9,8,42,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/heXFDjvP_FLA4IZO42H_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/heXFDjvP_FAZH40RBT1_2025-06-09_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/heXFDjvP_EOHQKU35O3_2025-06-12_1.png","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Blue","Elegant artificial Hydrangea flower bouquet ( without Vase ) for home decor, gifting or special occasions.Crafted using high-quality, realistic materials, each flower in this bouquet mimics the gentle curves, layered petals, and rich textures of natural hydrangeas. The attention to detail is evident in the soft color blending and lifelike feel, making this bouquet a visually captivating addition to any space. Whether displayed on a dining table, console, bedside, or mantel, it instantly adds warmth, freshness, and a touch of elegance.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-67","","Green & Dusty Blue Artificial Hydrangea Flower Bouquet For Home Decor","HOD-67",699,1398,300,30,10,10,43,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/aihVGZZv_0CROOKJRHJ_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/aihVGZZv_UV0BY5L65B_2025-06-12_1.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green & dusty blue","Elegant artificial Hydrangea flower bouquet ( without Vase ) for home decor, gifting or special occasions.Crafted using high-quality, realistic materials, each flower in this bouquet mimics the gentle curves, layered petals, and rich textures of natural hydrangeas. The attention to detail is evident in the soft color blending and lifelike feel, making this bouquet a visually captivating addition to any space. Whether displayed on a dining table, console, bedside, or mantel, it instantly adds warmth, freshness, and a touch of elegance.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India","Artificial Flower",,,,,,
"Artificial plant Stick-97","","Green Artificial Areca Plant Stick For Home Decor","HOD-97",699,1398,210,27,9,8,54,"0.5",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/wE15QCaW_JCIC5TXU4A_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/wE15QCaW_CGNX1FN3J8_2025-06-10_1.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green","Artificial Areca Palm Plant with arching leaves and Vibrant green color.Each leaf of this artificial Areca Palm is carefully crafted with lifelike texture and shape, showcasing the delicate, slender leaflets that fan out in an elegant arch. The vibrant green hues reflect the rich tones found in real Areca palms, adding depth and vitality to the plant’s appearance. The overall arrangement is full and balanced, creating a natural, organic silhouette that complements a wide range of decor styles, from contemporary and minimalist to bohemian and coastal.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Indoor and Outdoor Settings
Perfect for home decor","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
"SmallPlant-55","","Orange & Green Artificial Small Plants For Home Decor","HOD-55",349,599,120,29,10,10,12,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/sdP5xQBO_0R7NAF65YS_2025-06-10_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/sdP5xQBO_KDBXW6UWUC_2025-06-12_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/sdP5xQBO_26Q6FUD63J_2025-06-20_1.png","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Orange & Green","Decorative Artificial plants- Realistic leaf designs.
Add a touch of greenery to your home or office with these beautifully crafted artificial plants.Each artificial plant is meticulously crafted using premium-quality, long-lasting materials that mimic the look and feel of real plants. The realistic foliage, varied shades of green, and natural-looking stems make these plants almost indistinguishable from the real thing — minus the watering, trimming, and sunlight.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Plant",,,,,,
